age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,4,226802,6,7,5,7,4,3,1,0,0,40,39,0
38,4,89814,12,9,3,5,1,5,1,0,0,50,39,0
28,2,336951,8,12,3,11,1,5,1,0,0,40,39,1
44,4,160323,16,10,3,7,1,3,1,7688,0,40,39,1
18,0,103497,16,10,5,0,4,5,2,0,0,30,39,0
34,4,198693,5,6,5,8,2,5,1,0,0,30,39,0
29,0,227026,12,9,5,0,5,3,1,0,0,40,39,0
63,6,104626,15,15,3,10,1,5,1,3103,0,32,39,1
24,4,369667,16,10,5,8,5,5,2,0,0,40,39,0
55,4,104996,3,4,3,3,1,5,1,0,0,10,39,0
65,4,184454,12,9,3,7,1,5,1,6418,0,40,39,1
36,1,212465,10,13,3,1,1,5,1,0,0,40,39,0
26,4,82091,12,9,5,1,2,5,2,0,0,39,39,0
58,0,299831,12,9,3,0,1,5,1,0,0,35,39,0
48,4,279724,12,9,3,7,1,5,1,3103,0,48,39,1
43,4,346189,13,14,3,4,1,5,1,0,0,50,39,1
20,7,444554,16,10,5,8,4,5,1,0,0,25,39,0
43,4,128354,12,9,3,1,6,5,2,0,0,30,39,0
37,4,60548,12,9,7,7,5,5,2,0,0,20,39,0
40,4,85019,11,16,3,10,1,2,1,0,0,45,0,1
34,4,107914,10,13,3,13,1,5,1,0,0,47,39,1
34,4,238588,16,10,5,8,4,3,2,0,0,35,39,0
72,0,132015,3,4,1,0,2,5,2,0,0,6,39,0
25,4,220931,10,13,5,10,2,5,1,0,0,43,29,0
25,4,205947,10,13,3,10,1,5,1,0,0,40,39,0
45,6,432824,12,9,3,3,1,5,1,7298,0,90,39,1
22,4,236427,12,9,5,1,4,5,1,0,0,20,39,0
23,4,134446,12,9,6,7,5,3,1,0,0,54,39,0
54,4,99516,12,9,3,3,1,5,1,0,0,35,39,0
32,6,109282,16,10,5,10,2,5,1,0,0,60,39,0
46,7,106444,16,10,3,4,1,3,1,7688,0,38,39,1
56,6,186651,6,7,7,8,5,5,2,0,0,50,39,0
24,6,188274,10,13,5,12,2,5,1,0,0,50,39,0
23,2,258120,16,10,3,11,1,5,1,0,0,40,39,0
26,4,43311,12,9,1,4,5,5,2,0,0,40,39,0
65,0,191846,12,9,3,0,1,5,1,0,0,40,39,0
36,2,403681,10,13,3,10,1,5,1,0,0,40,39,1
22,4,248446,2,3,5,9,2,5,1,0,0,50,13,0
17,4,269430,5,6,5,7,2,5,1,0,0,40,39,0
20,4,257509,12,9,5,3,4,5,1,0,0,40,39,0
65,4,136384,13,14,3,10,1,5,1,0,0,50,39,1
44,5,120277,9,11,3,12,1,5,1,0,0,45,39,1
36,4,465326,12,9,3,5,1,5,1,0,0,40,39,0
29,4,103634,6,7,3,8,1,5,1,0,0,40,39,0
20,7,138371,16,10,5,5,4,5,1,0,0,32,39,0
28,4,242832,9,11,3,10,6,5,2,0,0,36,39,1
39,4,290208,3,4,3,3,1,5,1,0,0,40,26,0
54,4,186272,16,10,3,14,1,5,1,3908,0,50,39,0
52,4,201062,6,7,6,9,2,3,2,0,0,18,39,0
56,5,131916,12,9,7,4,2,5,2,0,0,50,39,0
18,4,54440,16,10,5,8,4,5,1,0,0,20,39,0
39,4,280215,12,9,1,6,4,3,1,0,0,40,39,0
21,4,214399,16,10,5,8,4,5,2,0,1721,24,39,0
22,4,54164,12,9,5,8,2,5,1,14084,0,60,39,1
38,4,219446,4,5,4,4,2,5,1,0,0,54,26,0
21,4,110677,16,10,5,1,4,5,2,0,0,40,39,0
63,4,145985,12,9,3,3,1,5,1,0,0,40,39,0
34,2,382078,10,13,3,4,1,5,1,3103,0,50,39,1
42,5,170721,12,9,3,4,1,5,1,5178,0,50,39,1
33,4,269705,12,9,3,6,1,5,1,0,0,40,39,0
30,4,101135,10,13,5,4,2,5,2,0,0,50,39,0
39,4,118429,16,10,1,12,2,5,1,0,0,40,39,0
26,4,31208,13,14,5,4,2,5,2,0,0,40,39,0
33,4,281384,12,9,5,7,4,5,2,0,0,40,39,0
47,2,171807,12,9,1,1,2,5,2,0,0,40,39,0
41,4,109912,10,13,5,8,2,5,2,0,0,40,0,0
41,5,445382,8,12,3,3,1,5,1,15024,0,60,39,1
19,4,105460,16,10,5,8,4,5,1,0,0,20,39,0
46,4,170338,12,9,6,14,2,5,1,0,0,40,39,0
